Phase_Deg,Lockin_Output,Resistance_Ohm
1,-1.15E-6,616.24662
2,-2.05E-6,616.24662
3,-2.00E-6,616.24624
4,-2.00E-6,616.24624
5,-1.90E-6,616.24587
6,-1.90E-6,616.24599
7,-1.85E-6,616.24562
8,-1.80E-6,616.24537
9,-1.75E-6,616.24524
10,-1.75E-6,616.24474
11,-1.75E-6,616.24462
12,-1.65E-6,616.24449
13,-1.60E-6,616.24437
14,-1.55E-6,616.24399
15,-1.55E-6,616.24374
16,-1.55E-6,616.24349
17,-1.40E-6,616.24286
18,-1.40E-6,616.24311
19,-1.35E-6,616.24349
20,-1.30E-6,616.24299
21,-1.30E-6,616.24274
22,-1.25E-6,616.24236
23,-1.15E-6,616.24211
24,-1.10E-6,616.24186
25,-1.10E-6,616.24199
26,-1.10E-6,616.24174
27,-1.05E-6,616.24174
28,-1.00E-6,616.24236
29,-0.90E-6,616.24249
30,-0.90E-6,616.24286
31,-0.85E-6,616.24224
32,-0.75E-6,616.24186
33,-0.65E-6,616.24174
34,-0.65E-6,616.24136
35,-0.65E-6,616.24136
36,-0.55E-6,616.24073
37,-0.50E-6,616.24023
38,-0.40E-6,616.24048
39,-0.35E-6,616.24061
40,-0.40E-6,616.23961
41,-0.35E-6,616.23998
42,-0.25E-6,616.23961
43,-0.15E-6,616.23948
44,-0.15E-6,616.23923
45,-0.15E-6,616.23898
46,-0.00E-6,616.2386
47,0.05E-6,616.2386
48,0.40E-6,616.23848
49,1.05E-6,616.2381
50,1.85E-6,616.23773
51,2.85E-6,616.2376
52,4.15E-6,616.23748
53,6.00E-6,616.23685
54,7.90E-6,616.23723
55,9.90E-6,616.23648
56,11.75E-6,616.23635
57,12.90E-6,616.2361
58,13.80E-6,616.23597
59,14.90E-6,616.2356
60,14.90E-6,616.2356
61,14.25E-6,616.23547
62,13.05E-6,616.23497
63,11.75E-6,616.23485
64,10.50E-6,616.2346
65,8.85E-6,616.23485
66,7.55E-6,616.2341
67,6.25E-6,616.23372
68,5.10E-6,616.23372
69,4.40E-6,616.23359
70,3.60E-6,616.23384
71,2.90E-6,616.23347
72,2.35E-6,616.23309
73,2.50E-6,616.23309
74,2.85E-6,616.23272
75,3.40E-6,616.23272
76,4.25E-6,616.23247
77,5.60E-6,616.23209
78,7.90E-6,616.23121
79,9.35E-6,616.23197
80,11.65E-6,616.23184
81,18.05E-6,616.23172
82,26.00E-6,616.23159
83,32.00E-6,616.23147
84,37.80E-6,616.23096
85,42.55E-6,616.23084
86,43.65E-6,616.23046
87,44.55E-6,616.23046
88,45.45E-6,616.23021
89,46.40E-6,616.23046
90,47.40E-6,616.22984
91,48.10E-6,616.22984
92,48.90E-6,616.22959
93,49.85E-6,616.22946
94,50.70E-6,616.22883
95,51.50E-6,616.22896
96,51.75E-6,616.22871
97,52.45E-6,616.22896
98,53.20E-6,616.22871
99,54.50E-6,616.22846
100,59.85E-6,616.22808
101,60.75E-6,616.22771
102,61.60E-6,616.22746
103,62.40E-6,616.22733
104,63.10E-6,616.22708
105,63.85E-6,616.22746
106,64.45E-6,616.22671
107,65.15E-6,616.22671
108,65.85E-6,616.22683
109,66.55E-6,616.22646
110,67.15E-6,616.22646
111,67.70E-6,616.2262
112,68.35E-6,616.22583
113,68.90E-6,616.22583
114,69.45E-6,616.22558
115,69.95E-6,616.22545
116,70.55E-6,616.2257
117,70.90E-6,616.22445
118,71.45E-6,616.22508
119,71.80E-6,616.2247
120,72.30E-6,616.22445
121,72.70E-6,616.22458
122,73.05E-6,616.22433
123,73.40E-6,616.22445
124,73.70E-6,616.22395
125,73.95E-6,616.2237
126,74.30E-6,616.22332
127,74.55E-6,616.22383
128,74.85E-6,616.22357
129,75.05E-6,616.22345
130,75.20E-6,616.2232
131,75.35E-6,616.22282
132,75.55E-6,616.22307
133,75.60E-6,616.22295
134,75.70E-6,616.22257
135,75.70E-6,616.22232
136,75.80E-6,616.22232
137,75.85E-6,616.22207
138,75.80E-6,616.2217
139,75.85E-6,616.22182
140,75.85E-6,616.22195
141,75.70E-6,616.22132
142,75.65E-6,616.22119
143,75.55E-6,616.22132
144,75.40E-6,616.22094
145,75.20E-6,616.22082
146,75.05E-6,616.22069
147,74.70E-6,616.22094
148,74.60E-6,616.22069
149,74.30E-6,616.22044
150,74.05E-6,616.22032
151,73.70E-6,616.22019
152,73.45E-6,616.21982
153,73.10E-6,616.22007
154,72.65E-6,616.21969
155,72.30E-6,616.21944
156,71.85E-6,616.21944
157,71.40E-6,616.21944
158,71.05E-6,616.21882
159,70.45E-6,616.21894
160,69.95E-6,616.21844
161,69.40E-6,616.21882
162,68.90E-6,616.21856
163,68.35E-6,616.21844
164,67.70E-6,616.21844
165,67.15E-6,616.21806
166,66.55E-6,616.21781
167,65.80E-6,616.21794
168,65.10E-6,616.21769
169,64.40E-6,616.21794
170,63.80E-6,616.21756
171,60.65E-6,616.21719
172,54.75E-6,616.21719
173,49.60E-6,616.21694
174,46.75E-6,616.21681
175,46.05E-6,616.21656
176,45.45E-6,616.21706
177,44.75E-6,616.21656
178,44.00E-6,616.21631
179,43.40E-6,616.21593
180,42.65E-6,616.21593
181,37.20E-6,616.21618
182,33.95E-6,616.21581
183,29.25E-6,616.21531
184,27.60E-6,616.21543
185,24.45E-6,616.21568
186,24.00E-6,616.21556
187,22.75E-6,616.21518
188,22.75E-6,616.21518
189,21.60E-6,616.21506
190,20.10E-6,616.21456
191,18.80E-6,616.21518
192,18.35E-6,616.21481
193,17.80E-6,616.21468
194,17.35E-6,616.21443
195,16.85E-6,616.21431
196,16.30E-6,616.21456
197,14.15E-6,616.21393
198,12.90E-6,616.21406
199,11.25E-6,616.21406
200,9.90E-6,616.21381
201,8.55E-6,616.21368
202,8.10E-6,616.21355
203,7.65E-6,616.21343
204,7.05E-6,616.21381
205,6.75E-6,616.21355
206,6.00E-6,616.21318
207,5.60E-6,616.21305
208,5.25E-6,616.21343
209,5.05E-6,616.21293
210,4.80E-6,616.21268
211,4.50E-6,616.2128
212,4.15E-6,616.21305
213,3.85E-6,616.21305
214,3.60E-6,616.21305
215,3.25E-6,616.21218
216,2.90E-6,616.21243
217,2.60E-6,616.21255
218,2.30E-6,616.21243
219,2.10E-6,616.21243
220,1.50E-6,616.21193
221,1.25E-6,616.2118
222,1.25E-6,616.21155
223,1.00E-6,616.21205
224,0.35E-6,616.21155
225,0.00E-6,616.2118
226,0.00E-6,616.2118
227,-0.35E-6,616.21193
228,-1.30E-6,616.21117
229,-1.25E-6,616.21155
230,-1.90E-6,616.21205
231,-1.90E-6,616.21168
232,-2.60E-6,616.21143
233,-3.00E-6,616.2113
234,-3.50E-6,616.21092
235,-3.50E-6,616.21105
236,-4.15E-6,616.2108
237,-4.60E-6,616.21067
238,-4.60E-6,616.2108
239,-5.05E-6,616.21067
240,-5.40E-6,616.2108
241,-6.15E-6,616.2108
242,-6.35E-6,616.21055
243,-6.75E-6,616.2108
244,-7.15E-6,616.2103
245,-7.50E-6,616.2103
246,-7.75E-6,616.21042
247,-8.15E-6,616.21042
248,-8.25E-6,616.21042
249,-9.00E-6,616.2098
250,-9.30E-6,616.21055
251,-9.60E-6,616.20992
252,-9.40E-6,616.2103
253,-10.10E-6,616.21017
254,-10.60E-6,616.2103
255,-11.00E-6,616.20967
256,-11.00E-6,616.21017
257,-11.60E-6,616.21017
258,-11.80E-6,616.2093
259,-12.35E-6,616.20955
260,-12.25E-6,616.20967
261,-12.55E-6,616.2098
262,-13.25E-6,616.2098
263,-13.50E-6,616.20905
264,-13.80E-6,616.20942
265,-14.15E-6,616.20955
266,-14.05E-6,616.20905
267,-14.30E-6,616.20917
268,-15.00E-6,616.20892
269,-15.15E-6,616.2088
270,-15.55E-6,616.20892
271,-15.40E-6,616.20829
272,-15.95E-6,616.20905
273,-16.30E-6,616.20942
274,-16.50E-6,616.20892
275,-16.75E-6,616.2088
276,-17.20E-6,616.20842
277,-17.00E-6,616.20892
278,-17.10E-6,616.20817
279,-17.45E-6,616.2088
280,-17.95E-6,616.20892
281,-18.00E-6,616.20842
282,-18.25E-6,616.20842
283,-18.50E-6,616.20867
284,-18.50E-6,616.20829
285,-18.80E-6,616.20817
286,-19.00E-6,616.20854
287,-19.50E-6,616.20854
288,-19.55E-6,616.20842
289,-19.75E-6,616.20792
290,-20.10E-6,616.20842
291,-20.05E-6,616.20792
292,-20.50E-6,616.20792
293,-20.45E-6,616.20829
294,-20.80E-6,616.20792
295,-20.50E-6,616.20804
296,-21.00E-6,616.20754
297,-20.75E-6,616.20829
298,-20.85E-6,616.20779
299,-21.30E-6,616.20854
300,-21.10E-6,616.20779
301,-21.20E-6,616.20792
302,-21.60E-6,616.20792
303,-21.50E-6,616.20742
304,-21.50E-6,616.20692
305,-21.85E-6,616.20779
306,-21.70E-6,616.20754
307,-21.60E-6,616.20754
308,-21.85E-6,616.20779
309,-22.00E-6,616.20754
310,-22.10E-6,616.20767
311,-22.00E-6,616.20729
312,-22.05E-6,616.20779
313,-21.95E-6,616.20729
314,-21.95E-6,616.20742
315,-22.05E-6,616.20729
316,-22.10E-6,616.20742
317,-21.95E-6,616.20729
318,-22.30E-6,616.20717
319,-21.95E-6,616.20717
320,-22.05E-6,616.20729
321,-22.10E-6,616.20717
322,-21.80E-6,616.20729
323,-22.10E-6,616.20754
324,-21.75E-6,616.20754
325,-21.35E-6,616.20679
326,-21.75E-6,616.20717
327,-21.60E-6,616.20692
328,-21.50E-6,616.20692
329,-21.70E-6,616.20692
330,-21.25E-6,616.20729
331,-21.05E-6,616.20704
332,-21.25E-6,616.20679
333,-21.20E-6,616.20692
334,-20.75E-6,616.20704
