Phase_Deg,Lockin_Output,Resistance_Ohm
1,0.1280E-3,1037.5385
2,0.1310E-3,1037.5401
3,0.1180E-3,1037.5424
4,0.1120E-3,1037.5449
5,0.1250E-3,1037.5471
6,0.1320E-3,1037.549
7,0.1210E-3,1037.5508
8,0.1150E-3,1037.5528
9,0.1120E-3,1037.5549
10,0.1150E-3,1037.5568
11,0.1160E-3,1037.5588
12,0.1250E-3,1037.5574
13,0.1200E-3,1037.5575
14,0.1220E-3,1037.559
15,0.1220E-3,1037.561
16,0.1220E-3,1037.5629
17,0.1200E-3,1037.565
18,0.1150E-3,1037.5673
19,0.1030E-3,1037.5702
20,0.1070E-3,1037.5718
21,0.1180E-3,1037.5732
22,0.1270E-3,1037.575
23,0.1200E-3,1037.5771
24,0.1080E-3,1037.5792
25,0.1130E-3,1037.5804
26,0.1220E-3,1037.5827
27,0.1020E-3,1037.5836
28,0.1100E-3,1037.5857
29,0.1220E-3,1037.5873
30,0.1020E-3,1037.5892
31,0.1060E-3,1037.5906
32,0.1160E-3,1037.5922
33,0.1070E-3,1037.5938
34,0.0960E-3,1037.5952
35,0.1020E-3,1037.5967
36,0.1150E-3,1037.598
37,0.1130E-3,1037.5995
38,0.1060E-3,1037.601
39,0.1010E-3,1037.6019
40,0.0950E-3,1037.6036
41,0.0910E-3,1037.6045
42,0.0880E-3,1037.6062
43,0.0960E-3,1037.6071
44,0.1060E-3,1037.6087
45,0.1010E-3,1037.6095
46,0.0900E-3,1037.6114
47,0.0810E-3,1037.6124
48,0.0850E-3,1037.6126
49,0.0880E-3,1037.6139
50,0.0960E-3,1037.6148
51,0.0970E-3,1037.6158
52,0.0870E-3,1037.6175
53,0.0770E-3,1037.6181
54,0.0750E-3,1037.6195
55,0.0710E-3,1037.6204
56,0.0760E-3,1037.6214
57,0.0830E-3,1037.6224
58,0.0810E-3,1037.6228
59,0.0660E-3,1037.624
60,0.0600E-3,1037.625
61,0.0630E-3,1037.6255
62,0.0770E-3,1037.6263
63,0.0750E-3,1037.6268
64,0.0600E-3,1037.6277
65,0.0510E-3,1037.6288
66,0.0580E-3,1037.6294
67,0.0680E-3,1037.6303
68,0.0600E-3,1037.6308
69,0.0430E-3,1037.6317
70,0.0460E-3,1037.6322
71,0.0580E-3,1037.633
72,0.0580E-3,1037.6337
73,0.0430E-3,1037.6347
74,0.0370E-3,1037.6347
75,0.0370E-3,1037.6354
76,0.0430E-3,1037.6359
77,0.0510E-3,1037.6363
78,0.0410E-3,1037.6373
79,0.0370E-3,1037.6377
80,0.0260E-3,1037.6382
81,0.0200E-3,1037.6384
82,0.0160E-3,1037.6392
83,0.0180E-3,1037.6399
84,0.0120E-3,1037.6401
85,0.0070E-3,1037.6408
86,0.0080E-3,1037.6411
87,0.0060E-3,1037.6414
88,0.0020E-3,1037.6413
89,0.0020E-3,1037.6421
90,0.0000E-3,1037.6426
91,-0.0000E-3,1037.6424
92,0.0180E-3,1037.6433
93,0.0010E-3,1037.6434
94,-0.0070E-3,1037.6437
95,0.0060E-3,1037.6442
96,-0.0000E-3,1037.6444
97,0.0020E-3,1037.6449
98,-0.0010E-3,1037.6447
99,-0.0030E-3,1037.6454
100,-0.0100E-3,1037.6458
101,-0.0150E-3,1037.6457
102,-0.0070E-3,1037.6463
103,-0.0200E-3,1037.6466
104,-0.0160E-3,1037.6464
105,-0.0160E-3,1037.6466
106,-0.0200E-3,1037.6464
107,-0.0260E-3,1037.6468
108,-0.0180E-3,1037.6469
109,-0.0280E-3,1037.6468
110,-0.0220E-3,1037.6472
111,-0.0460E-3,1037.6469
112,-0.0250E-3,1037.6471
113,-0.0410E-3,1037.6471
114,-0.0510E-3,1037.6472
115,-0.0350E-3,1037.6467
116,-0.0370E-3,1037.6471
117,-0.0510E-3,1037.6467
118,-0.0500E-3,1037.6466
119,-0.0500E-3,1037.6464
120,-0.0460E-3,1037.6467
121,-0.0650E-3,1037.6461
122,-0.0570E-3,1037.6458
123,-0.0450E-3,1037.6459
124,-0.0530E-3,1037.6459
125,-0.0510E-3,1037.6454
126,-0.0560E-3,1037.6456
127,-0.0520E-3,1037.6452
128,-0.0580E-3,1037.6451
129,-0.0600E-3,1037.6449
130,-0.0720E-3,1037.6443
131,-0.0780E-3,1037.6441
132,-0.0820E-3,1037.6438
133,-0.0720E-3,1037.6438
134,-0.0720E-3,1037.6433
135,-0.0700E-3,1037.6431
136,-0.0870E-3,1037.6427
137,-0.0750E-3,1037.6424
138,-0.0850E-3,1037.6419
139,-0.0770E-3,1037.6419
140,-0.0910E-3,1037.6413
141,-0.0770E-3,1037.6407
142,-0.0910E-3,1037.6406
143,-0.0950E-3,1037.6398
144,-0.0850E-3,1037.6392
145,-0.0900E-3,1037.6382
146,-0.0850E-3,1037.6382
147,-0.0960E-3,1037.6377
148,-0.0880E-3,1037.6374
149,-0.1020E-3,1037.6372
150,-0.1080E-3,1037.6365
151,-0.1000E-3,1037.636
152,-0.1150E-3,1037.6352
153,-0.1100E-3,1037.6344
154,-0.1030E-3,1037.6332
155,-0.1150E-3,1037.6332
156,-0.1150E-3,1037.6325
157,-0.1160E-3,1037.6325
158,-0.1030E-3,1037.6318
159,-0.1080E-3,1037.6314
160,-0.1250E-3,1037.6302
161,-0.1060E-3,1037.6298
162,-0.1160E-3,1037.6294
163,-0.1260E-3,1037.6284
164,-0.1070E-3,1037.6275
165,-0.1100E-3,1037.6269
166,-0.1250E-3,1037.6263
167,-0.1100E-3,1037.6256
168,-0.1280E-3,1037.6249
169,-0.1080E-3,1037.6243
170,-0.1210E-3,1037.6236
171,-0.1310E-3,1037.6225
172,-0.1080E-3,1037.6218
173,-0.1100E-3,1037.6208
174,-0.1160E-3,1037.62
175,-0.1200E-3,1037.6191
176,-0.1200E-3,1037.6179
177,-0.1150E-3,1037.6169
178,-0.1310E-3,1037.6159
179,-0.1320E-3,1037.6153
180,-0.1320E-3,1037.6143
181,-0.1220E-3,1037.6133
182,-0.1180E-3,1037.6122
183,-0.1270E-3,1037.6115
184,-0.1380E-3,1037.6106
185,-0.1200E-3,1037.6095
186,-0.1200E-3,1037.6081
187,-0.1350E-3,1037.6072
188,-0.1150E-3,1037.6065
189,-0.1220E-3,1037.6057
190,-0.1270E-3,1037.6046
191,-0.1150E-3,1037.6035
192,-0.1330E-3,1037.6026
193,-0.1350E-3,1037.6014
194,-0.1150E-3,1037.6005
195,-0.1200E-3,1037.5995
196,-0.1330E-3,1037.5982
197,-0.1260E-3,1037.5973
198,-0.1270E-3,1037.596
199,-0.1150E-3,1037.5951
200,-0.1100E-3,1037.5936
201,-0.1100E-3,1037.5931
202,-0.1270E-3,1037.5917
203,-0.1210E-3,1037.5907
204,-0.1180E-3,1037.5891
205,-0.1100E-3,1037.5886
206,-0.1280E-3,1037.5872
207,-0.1260E-3,1037.5857
208,-0.1100E-3,1037.5852
209,-0.1180E-3,1037.5837
210,-0.1210E-3,1037.5831
211,-0.1130E-3,1037.5812
212,-0.1030E-3,1037.5801
213,-0.1070E-3,1037.5793
214,-0.1200E-3,1037.5778
215,-0.1000E-3,1037.5768
216,-0.1010E-3,1037.5749
217,-0.1100E-3,1037.574
218,-0.1060E-3,1037.5727
219,-0.0950E-3,1037.5717
220,-0.1020E-3,1037.5702
221,-0.0760E-3,1037.5687
222,-0.0880E-3,1037.568
223,-0.0710E-3,1037.568
224,-0.0780E-3,1037.5708
225,-0.0820E-3,1037.5766
226,-0.0850E-3,1037.5793
227,-0.0930E-3,1037.5821
228,-0.0950E-3,1037.5847
229,-0.0810E-3,1037.5844
230,-0.0900E-3,1037.5848
231,-0.0760E-3,1037.5853
232,-0.0950E-3,1037.5868
233,-0.0820E-3,1037.5886
234,-0.0910E-3,1037.5912
235,-0.0870E-3,1037.5946
236,-0.0750E-3,1037.5985
237,-0.0710E-3,1037.603
238,-0.0820E-3,1037.6079
239,-0.0750E-3,1037.6129
240,-0.0830E-3,1037.6186
241,-0.0700E-3,1037.6244
242,-0.0820E-3,1037.6305
243,-0.0630E-3,1037.6377
244,-0.0650E-3,1037.6438
245,-0.0710E-3,1037.6508
246,-0.0720E-3,1037.6578
247,-0.0470E-3,1037.6649
248,-0.0470E-3,1037.6725
249,-0.0650E-3,1037.679
250,-0.0470E-3,1037.6871
251,-0.0460E-3,1037.6944
252,-0.0400E-3,1037.7016
253,-0.0510E-3,1037.7098
254,-0.0470E-3,1037.7175
255,-0.0510E-3,1037.7247
256,-0.0410E-3,1037.7331
257,-0.0410E-3,1037.7408
258,-0.0460E-3,1037.7489
259,-0.0280E-3,1037.7573
