Phase_Deg,Lockin_Output,Resistance_Ohm
1,-0.1750E-3,616.45704
2,-0.1810E-3,616.39817
3,-0.1760E-3,616.37362
4,-0.1710E-3,616.35784
5,-0.1660E-3,616.34557
6,-0.1620E-3,616.33642
7,-0.1570E-3,616.32916
8,-0.1530E-3,616.32365
9,-0.1560E-3,616.31926
10,-0.1500E-3,616.31551
11,-0.1430E-3,616.31213
12,-0.1460E-3,616.30975
13,-0.1370E-3,616.30712
14,-0.1310E-3,616.30461
15,-0.1280E-3,616.30311
16,-0.1250E-3,616.30098
17,-0.1200E-3,616.29948
18,-0.1180E-3,616.2976
19,-0.1160E-3,616.29622
20,-0.1120E-3,616.29497
21,-0.1100E-3,616.29371
22,-0.1060E-3,616.29246
23,-0.0970E-3,616.29071
24,-0.0960E-3,616.28983
25,-0.0900E-3,616.28895
26,-0.0850E-3,616.28745
27,-0.0770E-3,616.28632
28,-0.0750E-3,616.2852
29,-0.0710E-3,616.28382
30,-0.0750E-3,616.28269
31,-0.0650E-3,616.28182
32,-0.0620E-3,616.28094
33,-0.0470E-3,616.27981
34,-0.0470E-3,616.27806
35,-0.0460E-3,616.27781
36,-0.0350E-3,616.27655
37,-0.0350E-3,616.2758
38,-0.0280E-3,616.27505
39,-0.0220E-3,616.27367
40,-0.0220E-3,616.27305
41,-0.0210E-3,616.27242
42,-0.0160E-3,616.27067
43,-0.0060E-3,616.26992
44,-0.0000E-3,616.26904
45,0.0030E-3,616.26829
46,0.0010E-3,616.26716
47,0.0120E-3,616.26654
48,0.0120E-3,616.26541
49,0.0210E-3,616.26466
50,0.0210E-3,616.2639
51,0.0310E-3,616.2629
52,0.0310E-3,616.26203
53,0.0370E-3,616.26102
54,0.0460E-3,616.26015
55,0.0460E-3,616.2594
56,0.0530E-3,616.25864
57,0.0520E-3,616.25802
58,0.0620E-3,616.25739
59,0.0630E-3,616.25589
60,0.0680E-3,616.25576
61,0.0760E-3,616.25414
62,0.0770E-3,616.25363
63,0.0850E-3,616.25301
64,0.0850E-3,616.25226
65,0.0970E-3,616.251
66,0.0900E-3,616.2505
67,0.1010E-3,616.24988
68,0.1000E-3,616.24938
69,0.1120E-3,616.24837
70,0.1100E-3,616.24775
71,0.1210E-3,616.24712
72,0.1180E-3,616.24662
73,0.1310E-3,616.24512
74,0.1260E-3,616.24487
75,0.1370E-3,616.24437
76,0.1350E-3,616.24249
77,0.1460E-3,616.24236
78,0.1430E-3,616.24186
79,0.1520E-3,616.24123
80,0.1510E-3,616.24061
81,0.1570E-3,616.23986
82,0.1630E-3,616.23923
83,0.1600E-3,616.23885
84,0.1710E-3,616.23773
85,0.1710E-3,616.23723
86,0.1710E-3,616.23648
87,0.1820E-3,616.23535
88,0.1830E-3,616.23472
89,0.1810E-3,616.23435
90,0.1910E-3,616.23397
91,0.1930E-3,616.23272
92,0.1910E-3,616.23259
93,0.2010E-3,616.23184
94,0.1970E-3,616.23134
95,0.2020E-3,616.23071
96,0.2080E-3,616.22959
97,0.2060E-3,616.22896
98,0.2080E-3,616.22871
99,0.2160E-3,616.22783
100,0.2130E-3,616.22771
101,0.2220E-3,616.22646
102,0.2180E-3,616.22595
103,0.2260E-3,616.2257
104,0.2280E-3,616.22445
105,0.2270E-3,616.2242
106,0.2280E-3,616.2237
107,0.2370E-3,616.22307
108,0.2380E-3,616.2222
109,0.2330E-3,616.2217
110,0.2370E-3,616.22145
111,0.2460E-3,616.22119
112,0.2460E-3,616.22019
113,0.2430E-3,616.21982
114,0.2410E-3,616.21919
115,0.2470E-3,616.21831
116,0.2520E-3,616.21781
117,0.2520E-3,616.21744
118,0.2470E-3,616.21681
119,0.2570E-3,616.21606
120,0.2520E-3,616.21543
121,0.2580E-3,616.21543
122,0.2560E-3,616.21443
123,0.2580E-3,616.21355
124,0.2560E-3,616.21343
125,0.2630E-3,616.21293
126,0.2570E-3,616.2123
127,0.2630E-3,616.21155
128,0.2620E-3,616.2113
129,0.2620E-3,616.21105
130,0.2660E-3,616.21042
131,0.2620E-3,616.2093
132,0.2580E-3,616.20942
133,0.2630E-3,616.20854
134,0.2660E-3,616.20829
135,0.2680E-3,616.20742
136,0.2680E-3,616.20754
137,0.2650E-3,616.20629
138,0.2630E-3,616.20591
139,0.2680E-3,616.20566
140,0.2660E-3,616.20466
141,0.2660E-3,616.20429
142,0.2650E-3,616.20404
143,0.2660E-3,616.20391
144,0.2620E-3,616.20291
145,0.2620E-3,616.20216
146,0.2620E-3,616.20203
147,0.2600E-3,616.20153
148,0.2570E-3,616.20065
149,0.2510E-3,616.20028
150,0.2520E-3,616.20003
151,0.2560E-3,616.1999
152,0.2520E-3,616.19915
153,0.2460E-3,616.19852
154,0.2520E-3,616.1984
155,0.2430E-3,616.19727
156,0.2460E-3,616.19715
157,0.2460E-3,616.19665
158,0.2430E-3,616.19614
159,0.2400E-3,616.19564
160,0.2350E-3,616.19539
161,0.2410E-3,616.19452
162,0.2320E-3,616.19389
163,0.2280E-3,616.19326
164,0.2330E-3,616.19326
165,0.2270E-3,616.19276
166,0.2180E-3,616.19214
167,0.2220E-3,616.19189
168,0.2250E-3,616.19126
169,0.2180E-3,616.19051
170,0.2070E-3,616.19013
171,0.2100E-3,616.18976
172,0.2130E-3,616.18926
173,0.2020E-3,616.18863
174,0.2020E-3,616.18838
175,0.2010E-3,616.18825
176,0.1960E-3,616.1875
177,0.1880E-3,616.18763
178,0.1950E-3,616.187
179,0.1870E-3,616.18638
180,0.1780E-3,616.18575
181,0.1810E-3,616.18525
182,0.1820E-3,616.185
183,0.1780E-3,616.1845
184,0.1720E-3,616.18375
185,0.1700E-3,616.18337
186,0.1620E-3,616.18299
187,0.1600E-3,616.18287
188,0.1560E-3,616.18274
189,0.1530E-3,616.18199
190,0.1470E-3,616.18099
191,0.1410E-3,616.18099
192,0.1430E-3,616.18049
193,0.1410E-3,616.17999
194,0.1350E-3,616.17924
195,0.1330E-3,616.17911
196,0.1310E-3,616.17874
197,0.1210E-3,616.17836
198,0.1160E-3,616.17773
199,0.1180E-3,616.17736
200,0.1150E-3,616.17673
201,0.1010E-3,616.17636
202,0.0960E-3,616.17585
203,0.1010E-3,616.17598
204,0.0960E-3,616.17498
205,0.0870E-3,616.1746
206,0.0810E-3,616.17423
207,0.0780E-3,616.1741
208,0.0760E-3,616.17347
209,0.0720E-3,616.1731
210,0.0710E-3,616.1726
211,0.0630E-3,616.17172
212,0.0570E-3,616.17185
213,0.0560E-3,616.17122
214,0.0530E-3,616.17072
215,0.0410E-3,616.17047
216,0.0350E-3,616.17034
217,0.0320E-3,616.16947
218,0.0310E-3,616.16922
219,0.0250E-3,616.16884
220,0.0180E-3,616.16834
221,0.0160E-3,616.16821
222,0.0130E-3,616.16746
223,0.0030E-3,616.16721
224,0.0010E-3,616.16684
225,0.0000E-3,616.16558
226,-0.0070E-3,616.16596
227,-0.0080E-3,616.16571
228,-0.0130E-3,616.16546
229,-0.0130E-3,616.16471
230,-0.0220E-3,616.16433
231,-0.0280E-3,616.16371
232,-0.0350E-3,616.16333
233,-0.0380E-3,616.16345
234,-0.0470E-3,616.1622
235,-0.0520E-3,616.16233
236,-0.0560E-3,616.16195
237,-0.0570E-3,616.16133
238,-0.0560E-3,616.16108
239,-0.0700E-3,616.15995
240,-0.0750E-3,616.15982
241,-0.0810E-3,616.16007
242,-0.0780E-3,616.15932
243,-0.0850E-3,616.15882
244,-0.0880E-3,616.15895
245,-0.0910E-3,616.15807
246,-0.0970E-3,616.15794
247,-0.1070E-3,616.15694
248,-0.1020E-3,616.15694
249,-0.1070E-3,616.15669
250,-0.1160E-3,616.15581
251,-0.1200E-3,616.15544
252,-0.1220E-3,616.15556
253,-0.1210E-3,616.15544
254,-0.1350E-3,616.15431
255,-0.1330E-3,616.15394
256,-0.1410E-3,616.15406
257,-0.1400E-3,616.15318
258,-0.1460E-3,616.15331
259,-0.1520E-3,616.15306
260,-0.1580E-3,616.15193
