Phase_Deg,Lockin_Output,Resistance_Ohm
1,0.0898E-3,1034.3369
2,0.0873E-3,1034.2353
3,0.0873E-3,1034.2107
4,0.0925E-3,1034.2015
5,0.0965E-3,1034.1992
6,0.0913E-3,1034.2001
7,0.0888E-3,1034.2022
8,0.0953E-3,1034.2053
9,0.0973E-3,1034.2097
10,0.0950E-3,1034.2147
11,0.0928E-3,1034.2204
12,0.0915E-3,1034.2264
13,0.0988E-3,1034.2328
14,0.0968E-3,1034.239
15,0.0918E-3,1034.2462
16,0.0978E-3,1034.2537
17,0.0985E-3,1034.2613
18,0.0930E-3,1034.2682
19,0.0930E-3,1034.2767
20,0.0965E-3,1034.2845
21,0.1003E-3,1034.2929
22,0.0988E-3,1034.3009
23,0.0943E-3,1034.3103
24,0.0913E-3,1034.3184
25,0.1010E-3,1034.3268
26,0.0988E-3,1034.3356
27,0.0925E-3,1034.3442
28,0.0925E-3,1034.3536
29,0.0953E-3,1034.362
30,0.0985E-3,1034.371
31,0.0928E-3,1034.3797
32,0.0913E-3,1034.3883
33,0.0968E-3,1034.3972
34,0.0948E-3,1034.4061
35,0.0898E-3,1034.4149
36,0.0903E-3,1034.4238
37,0.0935E-3,1034.4324
38,0.0960E-3,1034.4417
39,0.0888E-3,1034.4501
40,0.0878E-3,1034.4586
41,0.0910E-3,1034.4669
42,0.0925E-3,1034.4754
43,0.0925E-3,1034.4831
44,0.0915E-3,1034.4915
45,0.0885E-3,1034.5001
46,0.0885E-3,1034.5082
47,0.0825E-3,1034.5167
48,0.0840E-3,1034.5249
49,0.0885E-3,1034.5321
50,0.0795E-3,1034.5401
51,0.0840E-3,1034.5478
52,0.0803E-3,1034.5559
53,0.0713E-3,1034.5642
54,0.0745E-3,1034.5723
55,0.0683E-3,1034.5803
56,0.0645E-3,1034.5894
57,0.0763E-3,1034.6024
58,0.0810E-3,1034.6714
59,0.0770E-3,1034.6849
60,0.0718E-3,1034.6958
61,0.0675E-3,1034.7046
62,0.0688E-3,1034.7134
63,0.0755E-3,1034.7217
64,0.0665E-3,1034.7314
65,0.0693E-3,1034.7414
66,0.0688E-3,1034.7533
67,0.0615E-3,1034.7663
68,0.0688E-3,1034.7806
69,0.0618E-3,1034.7941
70,0.0600E-3,1034.8089
71,0.0668E-3,1034.8248
72,0.0580E-3,1034.8405
73,0.0545E-3,1034.8568
74,0.0588E-3,1034.8735
75,0.0580E-3,1034.8905
76,0.0555E-3,1034.9082
77,0.0495E-3,1034.9262
78,0.0458E-3,1034.9426
79,0.0475E-3,1034.961
80,0.0458E-3,1034.9791
81,0.0440E-3,1034.9968
82,0.0443E-3,1035.0148
83,0.0405E-3,1035.0332
84,0.0388E-3,1035.0519
85,0.0390E-3,1035.0702
86,0.0413E-3,1035.0885
87,0.0418E-3,1035.1068
88,0.0340E-3,1035.1243
89,0.0333E-3,1035.1432
90,0.0318E-3,1035.1607
91,0.0288E-3,1035.1803
92,0.0293E-3,1035.1978
93,0.0295E-3,1035.2157
94,0.0280E-3,1035.2339
95,0.0278E-3,1035.2521
96,0.0275E-3,1035.2697
97,0.0215E-3,1035.288
98,0.0175E-3,1035.3057
99,0.0145E-3,1035.3231
100,0.0170E-3,1035.3411
101,0.0208E-3,1035.3593
102,0.0113E-3,1035.3764
103,0.0113E-3,1035.3938
104,0.0138E-3,1035.4119
105,0.0065E-3,1035.4293
106,0.0058E-3,1035.4467
107,0.0080E-3,1035.4641
108,-0.0005E-3,1035.4818
109,0.0015E-3,1035.4992
110,0.0013E-3,1035.517
111,-0.0018E-3,1035.5336
112,0.0025E-3,1035.5511
113,-0.0095E-3,1035.5688
114,-0.0108E-3,1035.5862
115,-0.0100E-3,1035.6034
116,-0.0133E-3,1035.621
117,-0.0168E-3,1035.6381
118,-0.0095E-3,1035.6552
119,-0.0155E-3,1035.6729
120,-0.0158E-3,1035.6899
121,-0.0158E-3,1035.7063
122,-0.0163E-3,1035.7236
123,-0.0215E-3,1035.7405
124,-0.0280E-3,1035.7568
125,-0.0218E-3,1035.7732
126,-0.0275E-3,1035.79
127,-0.0303E-3,1035.8063
128,-0.0263E-3,1035.8228
129,-0.0330E-3,1035.8388
130,-0.0365E-3,1035.8554
131,-0.0345E-3,1035.8714
132,-0.0355E-3,1035.8877
133,-0.0365E-3,1035.9043
134,-0.0455E-3,1035.9198
135,-0.0425E-3,1035.9358
136,-0.0405E-3,1035.9516
137,-0.0450E-3,1035.9675
138,-0.0478E-3,1035.9826
139,-0.0438E-3,1035.9979
140,-0.0525E-3,1036.0143
141,-0.0495E-3,1036.0292
